client_id,client_type,gender,country,region,date_of_birth,acquisition_purpose,loan_applied,referral_channel,satisfaction_score
C0031,Individual,Male,UAE,North,1966-02-23,Personal use,No,Advertisement,4
C0032,Individual,Other,Canada,Central,1963-07-26,Investment,Yes,Agent,4
C0033,Individual,Other,Australia,East,1988-03-09,Investment,No,Website,1
C0034,Individual,Male,India,Central,2001-02-11,Personal use,Yes,Agent,3
C0035,Corporate,Female,UK,South,1991-04-24,Personal use,Yes,Advertisement,5
C0036,Individual,Other,India,South,1960-09-13,Personal use,Yes,Website,9
C0037,Individual,Other,UK,South,1973-12-11,Personal use,No,Agent,9
C0038,Individual,Male,India,West,2003-10-30,Personal use,No,Website,1
C0039,Individual,Female,USA,West,1989-12-03,Personal use,No,Referral,9
C0040,Individual,Other,USA,Central,1960-11-12,Personal use,Yes,Agent,10
C0041,Individual,Female,Singapore,North,1973-04-14,Investment,No,Social Media,4
C0042,Individual,Female,Canada,South,1969-03-22,Personal use,No,Social Media,3
C0043,Corporate,Other,UK,West,1975-11-19,Investment,No,Walk-in,4
C0044,Individual,Female,Singapore,North,1983-12-08,Personal use,No,Social Media,4
C0045,Individual,Male,USA,North,2001-04-18,Personal use,No,Referral,6
C0046,Corporate,Female,UK,Central,1984-12-29,Personal use,Yes,Advertisement,6
C0047,Individual,Male,Canada,East,1962-06-23,Personal use,Yes,Advertisement,7
C0048,Individual,Other,Canada,North,1991-01-05,Investment,Yes,Advertisement,4
C0049,Individual,Other,Singapore,Central,1982-11-07,Investment,No,Walk-in,4
C0050,Individual,Female,Canada,East,1992-09-03,Personal use,No,Website,5
C0051,Individual,Female,Australia,East,2005-06-30,Investment,No,Social Media,7
C0052,Individual,Other,Canada,East,1994-01-05,Personal use,Yes,Website,5
C0053,Individual,Other,Australia,East,1985-09-27,Personal use,No,Referral,4
C0054,Individual,Other,USA,North,2005-11-10,Personal use,Yes,Walk-in,10
C0055,Individual,Male,Australia,East,1990-01-26,Personal use,Yes,Social Media,3
C0056,Individual,Other,Singapore,North,1962-03-11,Personal use,No,Walk-in,10
C0057,Individual,Female,USA,South,1977-06-11,Investment,No,Website,2
C0058,Individual,Other,Canada,West,1998-02-21,Personal use,Yes,Social Media,2
C0059,Individual,Other,Canada,Central,2000-12-13,Investment,Yes,Referral,10
C0060,Individual,Female,USA,West,2005-04-14,Personal use,No,Social Media,5
C0061,Individual,Male,Australia,East,2003-06-23,Investment,Yes,Agent,6
C0062,Individual,Other,USA,South,1967-03-25,Investment,Yes,Referral,6
C0063,Individual,Female,UAE,Central,2001-10-19,Investment,No,Website,10
C0064,Individual,Female,Singapore,West,1994-02-15,Personal use,No,Referral,9
C0065,Individual,Female,India,West,1979-10-14,Investment,Yes,Walk-in,7
C0066,Individual,Other,Canada,North,1974-10-22,Personal use,No,Advertisement,10
C0067,Individual,Female,USA,North,1962-06-07,Investment,Yes,Agent,4
C0068,Individual,Female,UK,West,2000-10-16,Personal use,Yes,Website,8
C0069,Individual,Female,USA,North,1961-09-27,Investment,No,Walk-in,1
C0070,Corporate,Male,Canada,South,1962-10-13,Investment,Yes,Referral,2
C0071,Individual,Female,USA,Central,1979-07-22,Investment,No,Walk-in,2
C0072,Corporate,Male,UK,Central,1974-09-10,Investment,No,Referral,7
C0073,Individual,Other,USA,North,1977-10-16,Personal use,No,Agent,10
C0074,Individual,Male,UK,Central,1970-11-10,Personal use,Yes,Agent,2
C0075,Individual,Female,Singapore,West,2005-05-23,Investment,Yes,Agent,8
C0076,Individual,Other,UK,Central,1973-09-22,Personal use,No,Advertisement,8
C0077,Individual,Female,UK,South,2001-09-14,Personal use,No,Website,5
C0078,Individual,Other,Australia,West,2000-06-10,Investment,Yes,Referral,6
C0079,Individual,Female,UK,East,1976-04-24,Investment,No,Walk-in,5
C0080,Individual,Male,Australia,West,1960-11-28,Investment,No,Social Media,8
C0081,Individual,Female,USA,West,2004-01-13,Investment,No,Agent,10
C0082,Individual,Female,Australia,Central,1993-02-08,Investment,Yes,Walk-in,8
C0083,Individual,Other,USA,East,1984-04-21,Investment,Yes,Advertisement,3
C0084,Individual,Other,Canada,Central,1977-03-08,Investment,No,Website,4
C0085,Individual,Male,Australia,Central,1986-07-30,Investment,Yes,Website,1
C0086,Individual,Female,India,North,1986-03-17,Investment,No,Referral,8
C0087,Individual,Female,Singapore,West,1999-07-08,Personal use,Yes,Website,7
C0088,Individual,Male,USA,South,2004-02-12,Personal use,No,Agent,2
C0089,Individual,Other,Canada,Central,1982-04-07,Personal use,Yes,Advertisement,7
C0090,Corporate,Other,UAE,East,2000-06-01,Investment,No,Website,10
C0091,Corporate,Male,UK,North,1968-11-25,Investment,Yes,Social Media,9
C0092,Individual,Other,Canada,West,1966-09-25,Investment,Yes,Social Media,5
C0093,Individual,Other,USA,East,1985-05-13,Investment,No,Walk-in,10
C0094,Individual,Other,USA,East,1977-09-30,Investment,No,Website,1
C0095,Individual,Other,UK,West,1974-11-19,Personal use,Yes,Walk-in,5
C0096,Corporate,Female,UAE,North,1996-02-10,Investment,No,Referral,6
C0097,Individual,Other,Singapore,Central,1982-06-18,Investment,No,Website,5
C0098,Individual,Other,Australia,West,1963-08-11,Investment,No,Social Media,10
C0099,Individual,Male,UAE,East,1999-02-08,Investment,Yes,Agent,2
C0100,Individual,Female,Australia,West,1974-06-05,Personal use,No,Advertisement,1
